Seed	Class	Mean	Std
76	2	[1.00000000e+00 0.00000000e+00 7.43164628e-40]	[0. 0. 0.]
77	0	[8.28000393e-01 3.24424691e-06 1.71996363e-01]	[3.77379582e-01 4.64228368e-05 3.77372461e-01]
77	1	[1.98442330e-03 9.97957518e-01 5.80406381e-05]	[0.00791508 0.00814469 0.00022962]
77	2	[0.00434327 0.00631657 0.98934016]	[0.06309871 0.04022926 0.07450848]
78	0	[1.00000000e+00 0.00000000e+00 4.23192136e-43]	[0. 0. 0.]
78	1	[0.00163713 0.97432668 0.02403618]	[0.02073556 0.11998591 0.11209372]
78	2	Empty	Empty
79	0	[1. 0. 0.]	[0. 0. 0.]
79	1	[0.007711   0.70448748 0.28780153]	[0.05862157 0.45297859 0.44530671]
79	2	[0. 0. 1.]	[0. 0. 0.]
80	0	[1.00000000e+00 1.37052735e-14 2.06805684e-09]	[0. 0. 0.]
80	1	[0.39252595 0.28249343 0.32498062]	[0.46633776 0.43846325 0.44033428]
80	2	[0. 0. 1.]	[0. 0. 0.]
81	0	[0. 0. 1.]	[0. 0. 0.]
81	1	[0.01238551 0.64794786 0.33966662]	[0.06689676 0.47338198 0.46153398]
81	2	[0. 0. 1.]	[0. 0. 0.]
82	0	[1.00000000e+00 0.00000000e+00 1.36207052e-37]	[0. 0. 0.]
82	1	[0.01900631 0.64180265 0.33919104]	[0.09718187 0.47567105 0.4599778 ]
82	2	[0.01168255 0.33988706 0.64843041]	[0.07814054 0.46634285 0.46572154]
83	0	[1.00000000e+00 0.00000000e+00 2.46717838e-32]	[0. 0. 0.]
83	1	[0.02573698 0.94001829 0.03424473]	[0.15430822 0.23365407 0.17629535]
83	2	[0.07008033 0.10843026 0.82148941]	[0.17878129 0.28873416 0.31869709]
84	0	[9.99997973e-01 3.46707729e-09 2.07272342e-06]	[0. 0. 0.]
84	1	[0.0146313  0.15197784 0.83339087]	[0.09006856 0.34912643 0.3547849 ]
84	2	[0. 1. 0.]	[0. 0. 0.]
85	0	[1.00000000e+00 4.42270503e-15 7.81853887e-11]	[0. 0. 0.]
85	1	[0.0612985  0.65067966 0.28802185]	[0.22845331 0.47040618 0.44294593]
85	2	[0.00419049 0.00763333 0.98817618]	[0.02348404 0.04505434 0.05215106]
86	0	[1.00000000e+00 1.12981280e-21 9.22876684e-13]	[0. 0. 0.]
86	1	[0.00679471 0.91224537 0.08095993]	[0.04343664 0.27940339 0.26039715]
86	2	[0. 1. 0.]	[0. 0. 0.]
87	0	[1.00000000e+00 2.44898156e-21 3.21500510e-13]	[0.00000000e+00 2.79230072e-20 4.21202867e-12]
87	1	[0.03084006 0.61791905 0.35124089]	[0.11732128 0.48152347 0.45589838]
87	2	[0. 0. 1.]	[0. 0. 0.]
88	0	[9.99999911e-01 2.15006891e-12 8.89183956e-08]	[2.18400707e-06 5.38501990e-11 2.18560967e-06]
88	1	[2.25236358e-35 1.00000000e+00 2.19289084e-33]	[4.76465107e-34 0.00000000e+00 4.16260538e-32]
88	2	[0. 0. 1.]	[0. 0. 0.]
89	0	[9.99999443e-01 1.08972780e-11 5.66113339e-07]	[4.74519068e-06 1.18845541e-10 4.74395029e-06]
89	1	[0.00819144 0.48011218 0.51169638]	[0.06653087 0.49518818 0.49187383]
89	2	[0. 0. 1.]	[0. 0. 0.]
90	0	[1.00000000e+00 1.26203880e-17 5.52921916e-11]	[0.00000000e+00 2.52593151e-16 7.95428593e-10]
90	1	[6.70371355e-04 9.59992163e-01 3.93374669e-02]	[0.00949346 0.19187362 0.18999628]
90	2	[0.33319376 0.00470096 0.66210528]	[0.45762651 0.04494826 0.45663764]
